company_name,website,industry,segment,sub_segment,signal_code,signal_score,signal_date,signal_text,source_url,messaging_hook
REGENXBIO,https://regenxbio.com,Life Sciences,Gene Therapy,Pharma,REGULATORY_MILESTONE,8,2026-01-11,"RGX-121 PDUFA Feb 8 2026; fully in-house end-to-end capabilities; single facility",https://www.prnewswire.com/news-releases/regenxbio-highlights-key-2026-catalysts-and-announces-positive-long-term-functional-outcomes-in-lead-duchenne-gene-therapy-program-302657988.html,"One of only gene therapy companies with fully in-house manufacturing - if approved, single 2000L facility will face capacity decisions"
Ultragenyx,https://ultragenyx.com,Life Sciences,Gene Therapy,Pharma,REGULATORY_MILESTONE,8,2026-01-05,"DTX401 BLA submitted Jan 2026; in-house HEK manufacturing; multiple gene therapies in pipeline",https://www.ultragenyx.com/our-research/our-gene-therapy-platform/,"Multiple gene therapy programs (DTX401, DTX301, UX701) all manufactured at single Novato facility - success = capacity crunch"
Taysha Gene Therapies,https://tayshagtx.com,Life Sciences,Gene Therapy,Pharma,INVESTMENT_PLAN_ANNOUNCED,7,2021-07-01,"$75M investment in Durham NC facility; single manufacturing site for entire pipeline",https://ir.tayshagtx.com/news-releases/news-release-details/taysha-gene-therapies-announces-new-cgmp-gene-therapy,"Young company built large facility early - if pipeline advances, already has capacity but single site = eventual expansion need"
Abeona Therapeutics,https://abeonatherapeutics.com,Life Sciences,Gene Therapy,Pharma,REGULATORY_MILESTONE,8,2025-12-01,"ZEVASKYN approved Dec 2025; manufactured at small Cleveland facility; commercial launch underway",https://investors.abeonatherapeutics.com/press-releases/detail/316/zevaskyn-gene-therapy-now-available-at-new-qualified,"FDA-approved gene therapy in tiny 6K sq ft facility - commercial success = forced expansion"
Neurogene,https://neurogene.com,Life Sciences,Gene Therapy,Pharma,INVESTMENT_PLAN_ANNOUNCED,7,2024-11-01,"State-of-the-art in-house facility in Houston; NGN-401 for Rett syndrome advancing toward pivotal",https://www.biospace.com/press-releases/neurogene-reports-third-quarter-2024-financial-results-and-highlights-recent-updates,"Built manufacturing facility in Houston; if NGN-401 succeeds in Rett syndrome, single facility serves entire pipeline"
Sangamo Therapeutics,https://sangamo.com,Life Sciences,Gene Therapy,Pharma,REGULATORY_MILESTONE,7,2025-12-01,"ST-920 BLA rolling submission Dec 2025 for Fabry disease; in-house Brisbane facility + Thermo CDMO",https://investor.sangamo.com/news-releases/news-release-details/sangamo-announces-strategic-investment-manufacturing-and,"Has in-house Brisbane facility but also relies on CDMO - approval success could trigger full in-house build"
Replimune,https://replimune.com,Life Sciences,Gene Therapy,Oncolytic,REGULATORY_MILESTONE,7,2026-02-01,"RP1 BLA resubmitted for advanced melanoma; single in-house manufacturing facility",https://ir.replimune.com/news-releases/news-release-details/replimune-receives-complete-response-letter-fda-rp1-biologics,"Oncolytic immunotherapy with in-house facility - if approved, commercial demand vs single site capacity"
Rocket Pharmaceuticals,https://rocketpharma.com,Life Sciences,Gene Therapy,Pharma,REGULATORY_MILESTONE,7,2025-10-01,"Kresladi BLA resubmitted; PDUFA Q1 2026; in-house manufacturing at NJ facility",https://ir.rocketpharma.com/news-releases/news-release-details/rocket-pharmaceuticals-announces-buildout-rd-and-manufacturing,"Multiple gene therapies in pipeline (LAD-I, Fanconi, Danon, PKD) - single facility serving all"
4D Molecular Therapeutics,https://4dmoleculartherapeutics.com,Life Sciences,Gene Therapy,Pharma,INVESTMENT_PLAN_ANNOUNCED,7,2024-01-01,"Proprietary Therapeutic Vector Evolution platform; in-house 3K sq ft cGMP manufacturing; ophthalmology + cardiology focus",https://www.stantec.com/en/projects/united-states-projects/-/4d-molecular-therapeutics-cell-gene-therapy-facility-and-r-d-lab,"Small in-house facility = capacity decisions if pipeline advances"
Tenaya Therapeutics,https://tenayatherapeutics.com,Life Sciences,Gene Therapy,Pharma,INVESTMENT_PLAN_ANNOUNCED,7,2024-11-01,"In-house manufacturing center in Union City CA; TN-201 and TN-401 for genetic cardiomyopathies",https://www.tenayatherapeutics.com/our-science/,"Cardiac gene therapy with in-house manufacturing; if programs succeed, single facility decision"
